Profile no,Station,Real_Comp,Img_comp,Latitude,Longitude,Elevation
200,0,-7.8,-10,16.9184686,79.0871025,161.576
200,10,-8.6,-9,16.9183913,79.0870487,161.94
200,20,-20.6,-8.4,16.918303,79.0870122,163.753
200,30,-20.6,-6.3,16.9182404,79.0869108,164.96
200,40,-16.5,-5.1,16.9181818,79.0868471,164.378
200,50,0.6,-4.8,16.918123,79.0868058,166.34
200,60,-4.9,-3,16.9180724,79.0867773,162.522
200,70,-15.2,-2.8,16.9180116,79.0866828,166.363
200,80,-22.5,-3.3,16.9179313,79.0866236,168.077
200,90,-21.2,-2.7,16.9178493,79.0865463,166.61
200,100,-19.2,-3.4,16.9177899,79.0864932,166.607
200,110,-26.8,-2.8,16.9177258,79.0864258,167.413
200,120,-21.8,-2.9,16.9176611,79.0863646,169.404
200,130,-34.7,-5.5,16.9175839,79.0863036,169.79
200,140,-31.4,-6.3,16.9175465,79.0862183,168.148
200,150,-15.8,-1.5,16.9175013,79.0861344,162.973
200,160,-92.1,21.2,16.9174026,79.0860516,166.587
200,170,-73.2,13.7,16.9173759,79.0859652,164.88
200,180,-92.1,13.5,16.9172597,79.0859478,166.835
200,190,-72,4.1,16.9171905,79.0859051,166.32
200,200,-68,1.5,16.9171047,79.0858803,167.563
200,210,-60.5,2.2,16.9170315,79.085829,167.242
200,220,-58.9,2.2,16.9169527,79.0857664,166.583
200,230,-59,-1.1,16.9168866,79.0857051,167.21
200,240,-14.3,-1.2,16.9168271,79.085648,167.75
200,250,-60.1,-4.1,16.9167734,79.0855966,167.28
200,260,-17.7,-1.2,16.9167161,79.0855311,166.197
200,270,-71.6,-10,16.9166539,79.0854962,167.975
200,280,-91.6,-21.8,16.9165798,79.0854439,169.863
200,290,-85.4,-18.4,16.916533,79.0853722,168.35
200,300,-77.3,-15.1,16.9164396,79.0852917,167.593
200,310,-87.1,-44.4,16.9163963,79.0852307,166.957
230,0,44.2,-7.1,16.9160226,79.0853486,166.04
230,10,24.1,-5.5,16.9160648,79.0854114,166.117
230,20,23.6,-5.4,16.9161369,79.0854779,165.54
230,30,20.8,-5.9,16.9162066,79.0855264,167.337
230,40,21,-5.5,16.9162636,79.0855796,166.937
230,50,24.8,-6.2,16.9163211,79.0856636,167.083
230,60,30.4,-4.8,16.9164337,79.0857361,166.236
230,70,43.7,-4.2,16.9164988,79.0858105,166.963
230,80,45.6,-5.4,16.9165556,79.0858674,167.41
230,90,46.4,-6.6,16.9166099,79.0859108,167.298
230,100,48.9,-7.1,16.9166533,79.0859707,167.643
230,110,66.5,-10.6,16.9167106,79.0860019,167.9
230,120,47.4,-5,16.9167705,79.0860613,167.96
230,130,8.5,3.6,16.9168353,79.0861184,167.81
230,140,20.4,-0.4,16.916889,79.0861738,166.617
230,150,29,-3.2,16.9169499,79.0862188,166.505
230,160,43.4,-6.3,16.9169907,79.0862905,166.283
230,170,50.7,-5.5,16.9170839,79.0863346,168.047
230,180,44,-4.1,16.917154,79.086378,167.92
230,190,22.8,-2.7,16.9172121,79.0864488,167.073
230,200,17.4,-2.7,16.9172886,79.0865137,167.007
230,210,12,-1.8,16.9173668,79.0865889,167.193
230,220,5.6,-1.1,16.9174198,79.0866276,166.05
230,230,7.8,-1.3,16.9174956,79.0866838,166.197
230,240,14.6,0.4,16.917597,79.0867614,166.6
230,-250,10,-2.5,16.9176609,79.0868154,165.135
230,-260,9.2,-1.2,16.91773,79.0868704,165.003
230,-270,17.8,-0.9,16.9177823,79.0869346,166.013
230,-280,16.9,-0.5,16.9178803,79.0870195,164.52
